Country	Ledger.side	Flow.aggregation.point	Flow	Product	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
HN	Consumption	Other	Commercial and public services	Liquefied petroleum gases (LPG)	3	3	3.52	3.535802469	3.995555556	4.459259259	4.92691358	4.498765432	4.97037037	4.992098765	4.558024691	4.12	5.057283951	6.464197531	6.028148148	6.519506173	6.547160494	8.453333333	6.602469136	6.15654321	7.133333333	7.162962963	7.192592593	12.51851852	19.25925926	20.7037037	23.11111111	17.81481481	20.7037037	22.62962963	26	28	28	32	36	28	37	34	33	35	35	44	49
HN	Consumption	Industry	Non-specified (industry)	Liquefied petroleum gases (LPG)	0	0	0.96	0.991887125	1.151746032	1.31957672	1.495379189	1.399294533	1.583068783	1.62691358	1.518871252	1.402857143	1.758447972	2.29382716	2.181798942	2.405432099	2.461234568	3.236190476	2.572839506	2.440881834	2.876190476	2.935978836	2.995767196	5.296296296	8.148148148	8.759259259	9.777777778	7.537037037	8.759259259	9.574074074	11	12	16	20	23	27	36	28	20	21	29	37	41
HN	Consumption	Other	Residential	Liquefied petroleum gases (LPG)	3	3	3.52	3.472310406	3.852698413	4.221164021	4.577707231	4.101940035	4.446560847	4.380987654	3.923104056	3.477142857	4.184268078	5.241975309	4.79005291	5.075061728	4.991604938	6.31047619	4.824691358	4.402574956	4.99047619	4.901058201	4.811640212	8.185185185	12.59259259	13.53703704	15.11111111	11.64814815	13.53703704	14.7962963	17	18	18	14	16	23	29	26	26	28	27	35	38
HN	Consumption	Transport	Road	Liquefied petroleum gases (LPG)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HN	Consumption	Other	Agriculture/forestry	Gas/diesel oil excl. biofuels	10	11	14	13	14	16	16	18	19	19	18	18	18	17	8	1	1	1	2	1	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN	Consumption	Other	Commercial and public services	Gas/diesel oil excl. biofuels	8	9	11	10	11	14	23	27	28	27	23	22	19	20	17	17	20	22	24	22	21	23	25	29	28	29	30	32	50	23	53	93	137	43	42	32	4	5	1	1	0	0	0
HN	Consumption	Industry	Non-specified (industry)	Gas/diesel oil excl. biofuels	33	38	44	43	46	52	66	75	79	80	67	72	92	109	100	73	98	108	118	107	102	111	124	144	138	143	147	159	156	140	237	219	249	286	278	262	127	172	196	190	185	200	197
HN	Consumption	Other	Agriculture/forestry	Fuel oil	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN	Consumption	Other	Commercial and public services	Fuel oil	1	1	1	1	2	2	2	2	2	2	3	2	1	1	1	1	3	4	6	5	6	6	5	4	4	6	3	4	8	0	1	8	16	21	22	25	6	0	0	0	0	0	0
HN	Consumption	Industry	Non-specified (industry)	Fuel oil	56	61	63	75	82	77	72	76	92	89	77	61	70	80	73	78	83	106	135	130	134	133	115	101	97	144	76	85	106	78	72	78	122	165	173	248	289	249	201	205	222	467	380
HN	Supply	Total primary energy supply	Imports - Coke oven coke	Coke oven coke	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	54	42	44	70	77	92	92	92	89
HN	Supply	Total primary energy supply	Stock changes - Coke oven coke	Coke oven coke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	-22	0	-14	14	14	14
HN	Consumption	Industry	Blast furnaces	Coke oven coke	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN	Consumption	Industry	Non-specified (industry)	Coke oven coke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	49	44	48	77	78	106	106	103
