,,TIME,1971,2000
COUNTRY,FLOW,PRODUCT,,
Ghana,Production,Hard coal (if no detail),0,x
Ghana,Production,Brown coal (if no detail),0,x
Ghana,Production,Anthracite,..,0
Ghana,Production,Coking coal,..,0
Ghana,Production,Other bituminous coal,..,0
Ghana,Production,Sub-bituminous coal,..,0
Ghana,Production,Lignite,..,0
Ghana,Production,Patent fuel,0,0
Ghana,Production,Coke oven coke,0,0
Ghana,Production,Gas coke,0,0
Ghana,Production,Coal tar,0,0
Ghana,Production,BKB,0,0
Ghana,Production,Gas works gas,0,0
Ghana,Production,Coke oven gas,0,0
Ghana,Production,Blast furnace gas,0,0
Ghana,Production,Other recovered gases,0,0
Ghana,Production,Peat,0,0
Ghana,Production,Peat products,0,0
Ghana,Production,Oil shale and oil sands,0,0
Ghana,Production,Natural gas,0,0
Ghana,Production,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Production,Crude oil,0,0
Ghana,Production,Natural gas liquids,0,0
Ghana,Production,Refinery feedstocks,0,0
Ghana,Production,Additives/blending components,0,0
Ghana,Production,Other hydrocarbons,0,0
Ghana,Production,Refinery gas,0,0
Ghana,Production,Ethane,0,0
Ghana,Production,Liquefied petroleum gases (LPG),0,0
Ghana,Production,Motor gasoline excl. biofuels,0,0
Ghana,Production,Aviation gasoline,0,0
Ghana,Production,Gasoline type jet fuel,0,0
Ghana,Production,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Production,Other kerosene,0,0
Ghana,Production,Gas/diesel oil excl. biofuels,0,0
Ghana,Production,Fuel oil,0,0
Ghana,Production,Naphtha,0,0
Ghana,Production,White spirit & SBP,0,0
Ghana,Production,Lubricants,0,0
Ghana,Production,Bitumen,0,0
Ghana,Production,Paraffin waxes,0,0
Ghana,Production,Petroleum coke,0,0
Ghana,Production,Other oil products,0,0
Ghana,Production,Industrial waste,0,0
Ghana,Production,Municipal waste (renewable),0,0
Ghana,Production,Municipal waste (non-renewable),0,0
Ghana,Production,Primary solid biofuels,2088,3891
Ghana,Production,Biogases,0,0
Ghana,Production,Biogasoline,0,0
Ghana,Production,Biodiesels,0,0
Ghana,Production,Bio jet kerosene,0,0
Ghana,Production,Other liquid biofuels,0,0
Ghana,Production,Non-specified primary biofuels and waste,0,0
Ghana,Production,Charcoal,0,0
Ghana,Production,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Production,Heat output from non-specified combustible fuels,0,0
Ghana,Production,Nuclear,0,0
Ghana,Production,Hydro,250,568
Ghana,Production,Geothermal,0,0
Ghana,Production,Solar photovoltaics,0,0
Ghana,Production,Solar thermal,0,0
Ghana,Production,"Tide, wave and ocean",0,0
Ghana,Production,Wind,0,0
Ghana,Production,Other sources,0,0
Ghana,Production,Electricity,0,0
Ghana,Production,Heat,0,0
Ghana,Production,Total,2338,4459
Ghana,Production,Memo: Renewables,2338,4459
Ghana,Imports,Hard coal (if no detail),0,x
Ghana,Imports,Brown coal (if no detail),0,x
Ghana,Imports,Anthracite,..,0
Ghana,Imports,Coking coal,..,0
Ghana,Imports,Other bituminous coal,..,0
Ghana,Imports,Sub-bituminous coal,..,0
Ghana,Imports,Lignite,..,0
Ghana,Imports,Patent fuel,0,0
Ghana,Imports,Coke oven coke,0,0
Ghana,Imports,Gas coke,0,0
Ghana,Imports,Coal tar,0,0
Ghana,Imports,BKB,0,0
Ghana,Imports,Gas works gas,0,0
Ghana,Imports,Coke oven gas,0,0
Ghana,Imports,Blast furnace gas,0,0
Ghana,Imports,Other recovered gases,0,0
Ghana,Imports,Peat,0,0
Ghana,Imports,Peat products,0,0
Ghana,Imports,Oil shale and oil sands,0,0
Ghana,Imports,Natural gas,0,0
Ghana,Imports,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Imports,Crude oil,916,1308
Ghana,Imports,Natural gas liquids,0,0
Ghana,Imports,Refinery feedstocks,0,0
Ghana,Imports,Additives/blending components,0,0
Ghana,Imports,Other hydrocarbons,0,0
Ghana,Imports,Refinery gas,0,0
Ghana,Imports,Ethane,0,0
Ghana,Imports,Liquefied petroleum gases (LPG),0,40
Ghana,Imports,Motor gasoline excl. biofuels,0,430
Ghana,Imports,Aviation gasoline,1,5
Ghana,Imports,Gasoline type jet fuel,0,0
Ghana,Imports,Kerosene type jet fuel excl. biofuels,21,32
Ghana,Imports,Other kerosene,1,0
Ghana,Imports,Gas/diesel oil excl. biofuels,0,409
Ghana,Imports,Fuel oil,0,0
Ghana,Imports,Naphtha,0,0
Ghana,Imports,White spirit & SBP,0,0
Ghana,Imports,Lubricants,18,31
Ghana,Imports,Bitumen,0,6
Ghana,Imports,Paraffin waxes,0,0
Ghana,Imports,Petroleum coke,0,0
Ghana,Imports,Other oil products,0,32
Ghana,Imports,Industrial waste,0,0
Ghana,Imports,Municipal waste (renewable),0,0
Ghana,Imports,Municipal waste (non-renewable),0,0
Ghana,Imports,Primary solid biofuels,0,0
Ghana,Imports,Biogases,0,0
Ghana,Imports,Biogasoline,0,0
Ghana,Imports,Biodiesels,0,0
Ghana,Imports,Bio jet kerosene,0,0
Ghana,Imports,Other liquid biofuels,0,0
Ghana,Imports,Non-specified primary biofuels and waste,0,0
Ghana,Imports,Charcoal,0,0
Ghana,Imports,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Imports,Heat output from non-specified combustible fuels,0,0
Ghana,Imports,Nuclear,0,0
Ghana,Imports,Hydro,0,0
Ghana,Imports,Geothermal,0,0
Ghana,Imports,Solar photovoltaics,0,0
Ghana,Imports,Solar thermal,0,0
Ghana,Imports,"Tide, wave and ocean",0,0
Ghana,Imports,Wind,0,0
Ghana,Imports,Other sources,0,0
Ghana,Imports,Electricity,0,74
Ghana,Imports,Heat,0,0
Ghana,Imports,Total,958,2366
Ghana,Imports,Memo: Renewables,0,0
Ghana,Exports,Hard coal (if no detail),0,x
Ghana,Exports,Brown coal (if no detail),0,x
Ghana,Exports,Anthracite,..,0
Ghana,Exports,Coking coal,..,0
Ghana,Exports,Other bituminous coal,..,0
Ghana,Exports,Sub-bituminous coal,..,0
Ghana,Exports,Lignite,..,0
Ghana,Exports,Patent fuel,0,0
Ghana,Exports,Coke oven coke,0,0
Ghana,Exports,Gas coke,0,0
Ghana,Exports,Coal tar,0,0
Ghana,Exports,BKB,0,0
Ghana,Exports,Gas works gas,0,0
Ghana,Exports,Coke oven gas,0,0
Ghana,Exports,Blast furnace gas,0,0
Ghana,Exports,Other recovered gases,0,0
Ghana,Exports,Peat,0,0
Ghana,Exports,Peat products,0,0
Ghana,Exports,Oil shale and oil sands,0,0
Ghana,Exports,Natural gas,0,0
Ghana,Exports,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Exports,Crude oil,0,0
Ghana,Exports,Natural gas liquids,0,0
Ghana,Exports,Refinery feedstocks,0,0
Ghana,Exports,Additives/blending components,0,0
Ghana,Exports,Other hydrocarbons,0,0
Ghana,Exports,Refinery gas,0,0
Ghana,Exports,Ethane,0,0
Ghana,Exports,Liquefied petroleum gases (LPG),0,-7
Ghana,Exports,Motor gasoline excl. biofuels,-4,-104
Ghana,Exports,Aviation gasoline,0,0
Ghana,Exports,Gasoline type jet fuel,0,0
Ghana,Exports,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Exports,Other kerosene,-4,0
Ghana,Exports,Gas/diesel oil excl. biofuels,0,-1
Ghana,Exports,Fuel oil,-178,-183
Ghana,Exports,Naphtha,0,0
Ghana,Exports,White spirit & SBP,0,0
Ghana,Exports,Lubricants,0,0
Ghana,Exports,Bitumen,0,0
Ghana,Exports,Paraffin waxes,0,0
Ghana,Exports,Petroleum coke,0,0
Ghana,Exports,Other oil products,0,0
Ghana,Exports,Industrial waste,0,0
Ghana,Exports,Municipal waste (renewable),0,0
Ghana,Exports,Municipal waste (non-renewable),0,0
Ghana,Exports,Primary solid biofuels,0,0
Ghana,Exports,Biogases,0,0
Ghana,Exports,Biogasoline,0,0
Ghana,Exports,Biodiesels,0,0
Ghana,Exports,Bio jet kerosene,0,0
Ghana,Exports,Other liquid biofuels,0,0
Ghana,Exports,Non-specified primary biofuels and waste,0,0
Ghana,Exports,Charcoal,0,-2
Ghana,Exports,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Exports,Heat output from non-specified combustible fuels,0,0
Ghana,Exports,Nuclear,0,0
Ghana,Exports,Hydro,0,0
Ghana,Exports,Geothermal,0,0
Ghana,Exports,Solar photovoltaics,0,0
Ghana,Exports,Solar thermal,0,0
Ghana,Exports,"Tide, wave and ocean",0,0
Ghana,Exports,Wind,0,0
Ghana,Exports,Other sources,0,0
Ghana,Exports,Electricity,0,-34
Ghana,Exports,Heat,0,0
Ghana,Exports,Total,-186,-331
Ghana,Exports,Memo: Renewables,0,-2
Ghana,International marine bunkers,Hard coal (if no detail),0,x
Ghana,International marine bunkers,Brown coal (if no detail),0,x
Ghana,International marine bunkers,Anthracite,..,0
Ghana,International marine bunkers,Coking coal,..,0
Ghana,International marine bunkers,Other bituminous coal,..,0
Ghana,International marine bunkers,Sub-bituminous coal,..,0
Ghana,International marine bunkers,Lignite,..,0
Ghana,International marine bunkers,Patent fuel,0,0
Ghana,International marine bunkers,Coke oven coke,0,0
Ghana,International marine bunkers,Gas coke,0,0
Ghana,International marine bunkers,Coal tar,0,0
Ghana,International marine bunkers,BKB,0,0
Ghana,International marine bunkers,Gas works gas,0,0
Ghana,International marine bunkers,Coke oven gas,0,0
Ghana,International marine bunkers,Blast furnace gas,0,0
Ghana,International marine bunkers,Other recovered gases,0,0
Ghana,International marine bunkers,Peat,0,0
Ghana,International marine bunkers,Peat products,0,0
Ghana,International marine bunkers,Oil shale and oil sands,0,0
Ghana,International marine bunkers,Natural gas,0,0
Ghana,International marine bunkers,Crude/NGL/feedstocks (if no detail),x,x
Ghana,International marine bunkers,Crude oil,0,0
Ghana,International marine bunkers,Natural gas liquids,0,0
Ghana,International marine bunkers,Refinery feedstocks,0,0
Ghana,International marine bunkers,Additives/blending components,0,0
Ghana,International marine bunkers,Other hydrocarbons,0,0
Ghana,International marine bunkers,Refinery gas,0,0
Ghana,International marine bunkers,Ethane,0,0
Ghana,International marine bunkers,Liquefied petroleum gases (LPG),0,0
Ghana,International marine bunkers,Motor gasoline excl. biofuels,0,0
Ghana,International marine bunkers,Aviation gasoline,0,0
Ghana,International marine bunkers,Gasoline type jet fuel,0,0
Ghana,International marine bunkers,Kerosene type jet fuel excl. biofuels,0,0
Ghana,International marine bunkers,Other kerosene,0,0
Ghana,International marine bunkers,Gas/diesel oil excl. biofuels,-29,-52
Ghana,International marine bunkers,Fuel oil,-22,0
Ghana,International marine bunkers,Naphtha,0,0
Ghana,International marine bunkers,White spirit & SBP,0,0
Ghana,International marine bunkers,Lubricants,0,0
Ghana,International marine bunkers,Bitumen,0,0
Ghana,International marine bunkers,Paraffin waxes,0,0
Ghana,International marine bunkers,Petroleum coke,0,0
Ghana,International marine bunkers,Other oil products,0,0
Ghana,International marine bunkers,Industrial waste,0,0
Ghana,International marine bunkers,Municipal waste (renewable),0,0
Ghana,International marine bunkers,Municipal waste (non-renewable),0,0
Ghana,International marine bunkers,Primary solid biofuels,0,0
Ghana,International marine bunkers,Biogases,0,0
Ghana,International marine bunkers,Biogasoline,0,0
Ghana,International marine bunkers,Biodiesels,0,0
Ghana,International marine bunkers,Bio jet kerosene,0,0
Ghana,International marine bunkers,Other liquid biofuels,0,0
Ghana,International marine bunkers,Non-specified primary biofuels and waste,0,0
Ghana,International marine bunkers,Charcoal,0,0
