COUNTRY,FLOW,PRODUCT,1971,2000
Ghana,Production,Hard coal (if no detail),0,x
Ghana,Production,Brown coal (if no detail),0,x
Ghana,Production,Anthracite,..,0
Ghana,Production,Coking coal,..,0
Ghana,Production,Other bituminous coal,..,0
Ghana,Production,Sub-bituminous coal,..,0
Ghana,Production,Lignite,..,0
Ghana,Production,Patent fuel,0,0
Ghana,Production,Coke oven coke,0,0
Ghana,Production,Gas coke,0,0
Ghana,Production,Coal tar,0,0
Ghana,Production,BKB,0,0
Ghana,Production,Gas works gas,0,0
Ghana,Production,Coke oven gas,0,0
Ghana,Production,Blast furnace gas,0,0
Ghana,Production,Other recovered gases,0,0
Ghana,Production,Peat,0,0
Ghana,Production,Peat products,0,0
Ghana,Production,Oil shale and oil sands,0,0
Ghana,Production,Natural gas,0,0
Ghana,Production,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Production,Crude oil,0,0
Ghana,Production,Natural gas liquids,0,0
Ghana,Production,Refinery feedstocks,0,0
Ghana,Production,Additives/blending components,0,0
Ghana,Production,Other hydrocarbons,0,0
Ghana,Production,Refinery gas,0,0
Ghana,Production,Ethane,0,0
Ghana,Production,Liquefied petroleum gases (LPG),0,0
Ghana,Production,Motor gasoline excl. biofuels,0,0
Ghana,Production,Aviation gasoline,0,0
Ghana,Production,Gasoline type jet fuel,0,0
Ghana,Production,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Production,Other kerosene,0,0
Ghana,Production,Gas/diesel oil excl. biofuels,0,0
Ghana,Production,Fuel oil,0,0
Ghana,Production,Naphtha,0,0
Ghana,Production,White spirit & SBP,0,0
Ghana,Production,Lubricants,0,0
Ghana,Production,Bitumen,0,0
Ghana,Production,Paraffin waxes,0,0
Ghana,Production,Petroleum coke,0,0
Ghana,Production,Other oil products,0,0
Ghana,Production,Industrial waste,0,0
Ghana,Production,Municipal waste (renewable),0,0
Ghana,Production,Municipal waste (non-renewable),0,0
Ghana,Production,Primary solid biofuels,2087.5131,3891.0146
Ghana,Production,Biogases,0,0
Ghana,Production,Biogasoline,0,0
Ghana,Production,Biodiesels,0,0
Ghana,Production,Bio jet kerosene,0,0
Ghana,Production,Other liquid biofuels,0,0
Ghana,Production,Non-specified primary biofuels and waste,0,0
Ghana,Production,Charcoal,0,0
Ghana,Production,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Production,Heat output from non-specified combustible fuels,0,0
Ghana,Production,Nuclear,0,0
Ghana,Production,Hydro,250.129,568.2717
Ghana,Production,Geothermal,0,0
Ghana,Production,Solar photovoltaics,0,0
