,,TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
COUNTRY,FLOW,PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Production,Hard coal (if no detail),..,..,..,..,..,..,..,..,..,..,..,1239830.655,1229688.215,1347764.201,1501811.496,1359482.959,1460286.348,1634615.045,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World,Production,Brown coal (if no detail),..,..,..,..,..,..,..,..,..,..,..,237745.4584,172671.6886,235697.5719,205956.1638,221063.219,266161.4048,212586.3645,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World,Production,Anthracite,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3114.210738,2850.757571,2860.327795,3533.618467,3242.753068,3917.596248,2261.220356,2798.600236,3194.520973,2959.751166,3563.740407,3163.520588,21376.30192,18135.11869,21106.36076,19178.67532,14081.70562,16045.31667,13020.22281,12609.029,12495.18134,9980.71124,12238.90288,13208.24841,18697.27883,19621.61569,31307.79614,41527.56126,50316.12664,48424.07593,49842.08563,47791.33261,59102.56683,53358.23468,66538.00452,71422.19199,49935.90544,51295.03302,56529.39298,42247.73685
World,Production,Coking coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,304003.3221,290836.1318,398321.7091,397931.9186,354299.3396,329870.6044,319393.2867,304456.53,380562.4529,389974.5548,407993.8607,293984.0205,340956.0109,377814.3372,322914.7295,398870.9941,360741.8445,298257.8686,365740.4699,279619.4091,367096.0129,333572.2335,313872.2388,300278.3548,346955.0671,360189.6616,428509.2265,381115.9558,549355.8255,407106.4054,571884.7164,528317.9542,501335.0311,698355.2758,534868.3659,652168.6611,737616.2835,639633.617,777236.1277,663265.3245
World,Production,Other bituminous coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1044496.425,1325125.569,1201435.519,1298824.196,1261886.484,962158.0964,1108618.451,1158792.631,1231599.65,1532840.644,1498596.742,1178524.377,1612455.707,1571103.73,1205234.544,1133719.555,1279418.857,1311925.212,1651734.737,1526574.945,1358250.641,1435007.455,1640608.479,1564517.721,1515329.584,1554980.919,1978349.403,1997010.072,1915089.866,2193971.718,1910939.875,2668028.749,2652183.531,2676678.534,2474592.469,3012653.605,2817857.705,2389673.659,2215511.634,2245008.863
World,Production,Sub-bituminous coal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68085.62809,81392.66279,76598.81392,96057.6722,99265.71398,90009.48892,94844.20717,86146.34647,121355.6442,134378.059,114820.329,123092.3867,105410.5554,137767.3365,136285.4809,129471.6133,192041.298,207165.7953,222315.7115,172084.1735,231081.6707,258491.1319,186293.1332,291515.3157,245495.0697,277988.1466,281553.1388,236862.9744,260164.9278,353945.9762,271720.4211,378749.18,379785.0398,289310.5697,395008.0284,442685.0485,350003.4589,380983.1276,379493.1442,375314.432
World,Production,Lignite,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,246731.9885,259396.689,220607.1548,193386.8922,223033.5159,256167.6028,231708.3615,284034.6212,305086.9135,269326.9466,286463.6716,326256.7514,269784.8712,244518.1082,263291.6628,229756.7914,190958.9945,211605.0239,184611.9192,239423.4689,166728.9911,182349.2058,245777.3189,197415.9951,193925.895,204382.8504,208460.2925,227980.2628,214181.8896,206287.1203,239205.6466,227448.9911,203747.6709,243350.7546,203131.6121,232002.3648,219788.1597,193561.246,221584.8629,218006.1835
World,Production,Patent fuel,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Coke oven coke,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Gas coke,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Coal tar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,BKB,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Gas works gas,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Coke oven gas,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Blast furnace gas,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
World,Production,Other recovered gases,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
